주제ID,주제,진입각도,카테고리,관련증상·성분,국내사용횟수,최고배수,대표영상URL,최근사용일,소진도,논쟁성(상·중·하),약사권위활용도(상·중·하),제품연결가능성,배정가능인물,상태,사람검토,사람메모
TOPIC-MAGNESIUM-COUNSEL-001,마그네슘 복용 상담,마그네슘의 역할과 복용 주의사항을 어떻게 쉽게 설명할까?,영양제·직장인건강,마그네슘·효소 반응·위장장애·복용 상담,1,184.03,https://www.instagram.com/yak.golnam/reel/DQVrXaRj9DL/,2026-08-04,미측정,중,상,중,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DQVrXaRj9DL에서 배수 184.03 확인
TOPIC-NIGHT-SWELLING-001,야식 후 붓기 체크,야식 뒤 붓기와 염증 신호를 생활 체크리스트로 어떻게 구분할까?,건강·식단·대사,붓기·염증·야식·식단 관리,1,252.26,https://www.instagram.com/yak.golnam/reel/DM1n7fpPOGI/,2026-08-04,미측정,상,상,중,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DM1n7fpPOGI에서 배수 252.26 확인
TOPIC-SLEEP-HABITS-TOP5-001,수면 습관 TOP5,수면의 질을 떨어뜨리는 습관과 복약 주의를 어떻게 짧게 전달할까?,생활습관·수면,수면·수면제·음주·역류성 식도염·수면무호흡,1,2.72,https://www.instagram.com/yak.golnam/reel/DaCX_gfP0PA/,2026-08-04,미측정,중,상,중,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DaCX_gfP0PA에서 배수 2.72 확인
TOPIC-ALCOHOL-BREAK-001,한 달 금주 변화,금주를 시작했을 때 수면과 식습관 변화를 어떻게 기록하게 할까?,생활습관·대사,금주·야식·수면·뱃살·피부·소비,1,1.07,https://www.instagram.com/yak.golnam/reel/DYvu6oCvV6O/,2026-08-04,미측정,중,중,중,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DYvu6oCvV6O에서 배수 1.07 확인
TOPIC-ADHD-TRAITS-001,ADHD 특성 재해석,ADHD 특성을 진단으로 단정하지 않으면서 자기비난을 어떻게 낮출까?,정신건강·생활습관,ADHD·벼락치기·몰입·시작 지연,1,0.83,https://www.instagram.com/yak.golnam/reel/DYoVRRLvfpp/,2026-08-04,미측정,상,중,낮음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DYoVRRLvfpp에서 배수 0.83 확인
TOPIC-HEALTH-SIGNS-CHECK-001,건강 신호 체크리스트,일상 신호와 진료가 필요한 신호를 어떻게 구분해 안내할까?,건강·자가점검,혈류·신장·탈수·혈압·기립성 저혈압,1,36.71,https://www.instagram.com/yak.golnam/reel/DYYc-TSvPwG/,2026-08-04,미측정,상,상,낮음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DYYc-TSvPwG에서 배수 36.71 확인
TOPIC-MENSTRUAL-PAIN-TIER-001,생리통약 티어표,통증 유형과 상황에 따라 생리통약 선택 기준을 어떻게 비교할까?,여성건강·의약품,생리통·진통제·탁센·아세트아미노펜,1,9.24,https://www.instagram.com/jessi_yaksa/reel/DbngSZoAnr_/,2026-08-04,미측정,상,상,높음,선영·김주성·오약·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbngSZoAnr_에서 배수 9.24 확인
TOPIC-PIGMENTATION-INGREDIENT-001,색소침착 성분 비교,색소침착 제품을 성분과 약국 상담 정보로 어떻게 비교할까?,피부·뷰티,색소침착·미백·나이아신아마이드·자외선차단,1,3.07,https://www.instagram.com/jessi_yaksa/reel/Dbk3oOzBX1X,2026-08-04,미측정,중,상,높음,선영·김주성·오약·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbk3oOzBX1X에서 배수 3.07 확인
TOPIC-SYMPTOM-SUPPLEMENT-COMBOS-001,증상별 영양제 조합,증상 질문을 제품 추천보다 먼저 제시하려면 어떻게 분류할까?,영양제·증상관리,피로·수면·눈 피로·장 건강·여성건강,1,,https://www.instagram.com/jessi_yaksa/reel/DbcN6jJwjJO,2026-08-04,미측정,중,상,높음,선영·김주성·오약·공용,후보,,
TOPIC-MENSTRUAL-3STEP-001,생리통 3단계 대처,생리통이 시작된 직후 확인할 행동 순서를 어떻게 안내할까?,여성건강·생활습관,생리통·온찜질·진통제·출혈,1,1,https://www.instagram.com/jessi_yaksa/reel/DbaaTn4hUvF,2026-08-04,미측정,상,상,높음,선영·김주성·오약·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbaaTn4hUvF에서 배수 1 확인
TOPIC-ORGANIC-SUNSCREEN-TOP5-001,유기자차 선크림 TOP5,유기자차 제품을 성분과 사용감 기준으로 어떻게 비교할까?,피부·뷰티,자외선차단·유기자차·민감성피부·백탁,1,1.5,https://www.instagram.com/jessi_yaksa/reel/DbIRYqqxuHe,2026-08-04,미측정,중,상,높음,선영·김주성·오약·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbIRYqqxuHe에서 배수 1.5 확인
TOPIC-HANGOVER-MISTAKES-001,숙취 때 피할 행동 5가지,숙취 상황의 약물안전 실수와 대체 행동을 어떻게 함께 보여줄까?,음주·약물안전,숙취·해장·진통제·수분보충,1,,https://www.instagram.com/jessi_yaksa/reel/DbFt3HARR7_,2026-08-04,미측정,상,상,중간,선영·김주성·오약·공용,후보,,
TOPIC-TRAVEL-MED-KIT-001,여행 상비약 체크리스트,여행지에서 약을 구하기 어려울 때 무엇을 준비할까?,약물안전·여행건강,여행·상비약·진통제·해열제·항히스타민제,1,,https://www.instagram.com/medimantv/p/DbRqt7dgKsn/,2026-08-04,미측정,중,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-BERBERINE-MYTHS-001,베르베린 3대 괴담,베르베린 복용 오해와 실제 복용 주의를 어떻게 구분할까?,영양제·대사,베르베린·고지혈증약·금기·휴지기·흡수율,1,,https://www.instagram.com/medimantv/p/DZEcYBMEtNx/,2026-08-04,미측정,상,상,중간,김주성·오약·선영·공용,후보,,
TOPIC-MAGNESIUM-CHOICE-001,해외 마그네슘 선택 기준,흡수율보다 부작용과 가성비를 어떻게 비교할까?,영양제·제품비교,마그네슘·흡수율·위장장애·가성비·글리신산·시트르산,1,,https://www.instagram.com/medimantv/p/DYMLFvmll8a/,2026-08-04,미측정,중,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-OMEGA3-GROUPBUY-001,초임계 오메가3 공동구매,공동구매 콘텐츠에서 함량·순도와 광고 표기를 어떻게 보여줄까?,영양제·광고,오메가3·초임계·순도·함량·공동구매,1,,https://www.instagram.com/medimantv/p/DbmVYg9H0UJ/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-LIPOSOME-Q10-GROUPBUY-001,리포좀씨큐텐 공동구매 마감,공동구매 마감 임박을 제품 섭취 권장과 함께 어떻게 보여줄까?,영양제·광고,리포좀씨큐텐·코엔자임Q10·공동구매·마감,1,,https://www.instagram.com/yakstory119/p/DbnhRjhE-WW/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-LONGTERM-NUTRIENT-WARNING-001,장기복용 영양제 점검,오래 먹을 때 위험한 영양제와 효용이 낮을 수 있는 보충제를 어떻게 구분할까?,영양제·약물안전,영양제 장기복용·가르시니아·비타민B6·나이아신·홍국·루테인·유산균,1,1.96,https://www.instagram.com/yakstory119/reel/Dbhd2X_T553/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbhd2X_T553에서 배수 1.96 확인
TOPIC-LIVER-SUPPLEMENT-COMPOSITION-001,간영양제 구성 기준,간 회복·해독·담즙 흐름·염증 조절 기전과 제품 선택을 어떻게 연결할까?,영양제·약물안전·제품비교,간영양제·밀크씨슬·글루타치온·TUDCA·커큐민·아티초크,1,1.83,https://www.instagram.com/yakstory119/reel/DbZvtDUTK5H/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbZvtDUTK5H에서 배수 1.83 확인
TOPIC-BERBERINE-BLOOD-SUGAR-001,베르베린 혈당 조절 기전,베르베린의 다섯 가지 작용을 혈당과 대사 주제로 어떻게 풀어낼까?,영양제·대사,베르베린·혈당·인슐린 민감도·콜레스테롤·혈압,1,,https://www.instagram.com/yakstory119/p/DbST1XmEznT/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-OTC-MEDICINE-QUIZ-001,상비약 7문항 퀴즈,일반약 이름과 복용 간격을 퀴즈로 어떻게 기억하게 할까?,약물안전·일반약,상비약·둘코락스에스·알마겔·아세트아미노펜·알레그라·스멕타·노스카나,1,,https://www.instagram.com/little_yaksa/reel/DbnHipfyF7W/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-PROTEIN-CHICKEN-RANKING-001,다이어트 치킨 단백질 순위,같은 열량에서 단백질이 높은 치킨을 어떻게 비교할까?,식단·다이어트·제품비교,치킨·단백질·열량·가공식품·다이어트,1,,https://www.instagram.com/little_yaksa/reel/DbkgnVNS6bg/,2026-08-04,미측정,중,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-SUPPLEMENT-TIMETABLE-001,영양제 복용 시간표,성분별 섭취 시간과 제품별 예외를 어떻게 한눈에 보여줄까?,영양제·약물안전,영양제 시간표·유산균·비타민B·코큐텐·오메가3·칼슘·마그네슘,1,,https://www.instagram.com/little_yaksa/reel/DbSfZrqykJw/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-DAISO-SUPPLEMENT-BUY-001,다이소 영양제 사요 안 사요,원료·영양성분·가격 기준으로 구매 권장과 보류 제품을 어떻게 나눌까?,영양제·제품비교,다이소·단백질·홍삼·가르시니아·유산균·가성비,1,,https://www.instagram.com/little_yaksa/reel/DbaNtSpS8Jj/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-GLP1-WEGOVY-MOUNJARO-COMPARE-001,위고비 마운자로 선택 비교,체중감량·부작용·장기데이터·가격 기준으로 두 약을 어떻게 비교할까?,약물안전·다이어트,위고비·마운자로·GLP-1·GIP·체중감량·부작용,1,2.18,https://www.instagram.com/yaksa__bubu/reel/DbkMb9DvqfU/,2026-08-03,미측정,중,상,높음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbkMb9DvqfU에서 배수 2.18 확인
TOPIC-CHILD-IRON-HABITS-001,아이 철분 부족 5가지 습관,식습관·항생제·우유·활동량을 다섯 가지로 어떻게 점검할까?,육아·영양제,철분·어린이·우유·항생제·비헴철·집중력,1,26.93,https://www.instagram.com/yaksa__bubu/reel/DbkyEcwvaxM/,2026-08-03,미측정,상,상,높음,선영·김주성·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbkyEcwvaxM에서 배수 26.93 확인
TOPIC-CHILD-WATERPLAY-ESSENTIALS-001,아이 물놀이 건강 필수품 4가지,물놀이 전후 화상·피부·탈수·자외선 대비를 무엇으로 준비할까?,육아·피부·약물안전,화상연고·보습크림·ORS·자외선차단·물놀이,1,1.15,https://www.instagram.com/yaksa__bubu/reel/DbiSJXbPT5q/,2026-08-02,미측정,중,상,높음,선영·오약·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbiSJXbPT5q에서 배수 1.15 확인
TOPIC-IRON-DOSE-TEST-001,철분제 피검사 전후 복용 기준,저용량과 고용량 철분제를 언제 검사와 함께 판단할까?,영양제·약물안전,철분·피검사·페리틴·저용량·고용량·임신,1,,https://www.instagram.com/yaksa__bubu/p/Dbj31StTY5W/,2026-08-03,미측정,상,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-OMEGA3-DOSE-LADDER-001,오메가3 연령·목적별 용량 사다리,어린이·성인·적극적 관리 목적별로 EPA+DHA 용량을 어떻게 나눠 설명할까?,영양제·약물안전,오메가3·EPA·DHA·중성지방·출혈경향성·어린이,1,,https://www.instagram.com/bbubbu_yaksa/p/DbjzceJvqpf/,2026-08-04,미측정,중,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-HEALTHCHECK-SUPPLEMENT-ROUTING-001,건강검진 결과별 영양제 조합,콜레스테롤·혈압·빈혈 등 검진 결과를 영양제 조합과 상담 기준으로 어떻게 매핑할까?,영양제·약물안전·건강검진,콜레스테롤·혈압·당뇨전단계·빈혈·골밀도·베르베린,1,2.28,https://www.instagram.com/bbubbu_yaksa/reel/DbkhdoBRCC9/,2026-08-03,미측정,상,상,높음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbkhdoBRCC9에서 배수 2.28 확인
TOPIC-CHRONIC-INFLAMMATION-MEAL-SWAPS-001,만성염증을 줄이는 현실적인 식사 교체,평소 식사를 유지하면서 액상과당·가공식품을 줄이고 대체안을 어떻게 제시할까?,다이어트·영양·생활습관,액상과당·가공식품·식이섬유·단백질·걷기·수면,1,7.16,https://www.instagram.com/bbubbu_yaksa/reel/DbiWxYXSEZs/,2026-08-03,미측정,중,상,중간,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbiWxYXSEZs에서 배수 7.16 확인
TOPIC-CHRONIC-INFLAMMATION-SYMPTOM-CHECK-001,만성염증 관련 증상 7개 체크,피로·건조·부종·소화 불편을 하나의 체크리스트로 점검하되 진단으로 단정하지 않으려면?,다이어트·생활습관,피로·체중·피부트러블·건조·부종·소화·두통,1,0.35,https://www.instagram.com/bbubbu_yaksa/reel/DbiZEY8vScA/,2026-08-02,미측정,상,상,중간,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbiZEY8vScA에서 배수 0.35 확인
TOPIC-MENSTRUAL-PAIN-SUPPLEMENT-001,생리통 영양제 성분 순위,생리통 상황에서 오메가3·마그네슘·생강·철분 등 성분을 어떻게 비교할까?,여성건강·영양제,생리통·오메가3·마그네슘·생강·비타민D·철분·커큐민,1,,https://www.instagram.com/dasik.yaksa/p/DbnLUMED-eL/,2026-08-04,미측정,상,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-EXERCISE-ADHERENCE-001,운동 결심이 실행되지 않을 때,운동을 미루는 현실적인 실패 경험을 어떻게 공감과 함께 인증하는 행동으로 바꿀까?,다이어트·생활습관,운동·체력·근력·다이어트·육아후 체력,1,,https://www.instagram.com/dasik.yaksa/p/Dbmi6qYD6qW/,2026-08-04,미측정,중,중,낮음,김주성·오약·선영·공용,후보,,
TOPIC-EXERCISE-RECOVERY-STACK-001,운동 후 회복 성분 조합,운동 후 수분·근육통·에너지 부족 상황에 어떤 성분을 어떻게 나눠 제시할까?,다이어트·영양·운동,ORS·마그네슘·아미노산·비타민B·운동회복·근육통,1,1.62,https://www.instagram.com/dasik.yaksa/reel/Dbjb3zqzswk/,2026-08-03,미측정,중,상,높음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbjb3zqzswk에서 배수 1.62 확인
TOPIC-SUPPLEMENT-AD-CLAIMS-001,속기 쉬운 영양제 광고 문구,약사배합·약국입점·유산균·컴플렉스 같은 권위 신호를 구매 전 무엇으로 검증할까?,영양제·광고판별,약사배합·약국입점·유산균·컴플렉스·근거·성분확인,1,1.41,https://www.instagram.com/dasik.yaksa/reel/DbiDDBNPiZr/,2026-08-02,미측정,상,상,높음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbiDDBNPiZr에서 배수 1.41 확인
TOPIC-PERIOD-OVERNIGHT-PRODUCT-001,생리 첫날 오버나이트 사용 경험,12시간 숙면·누수 없음이라는 개인 경험을 생리용품 선택 정보와 어떻게 구분해 전달할까?,여성건강·생활용품,생리·오버나이트·사용후기·오드리선,1,,https://www.instagram.com/myo_yaksa/reel/DbnSe7bPVMK/,2026-08-04,미측정,중,중,높음,김주성·오약·선영·공용,후보,검토,개인 경험과 제품 성능을 구분해 사용 조건을 함께 제시
TOPIC-PERIOD-PANTS-SANITARY-SIZE-001,팬티형 생리대 사이즈·구매 혜택,공동구매 오픈 전에 사이즈·장점·할인·이벤트 조건을 구매자가 빠르게 비교하게 하려면?,여성건강·생활용품,생리대·팬티형·사이즈·할인·구매혜택,1,,https://www.instagram.com/myo_yaksa/p/DbmENNVjyHt/,2026-08-04,미측정,중,중,높음,김주성·오약·선영·공용,후보,검토,사이즈 표와 혜택 조건을 분리해 오인 구매를 줄임
TOPIC-PERIOD-SANITARY-LONGTERM-REVIEW-001,생리용품 장기사용 후기,4년 사용 경험을 제품 선택 이유와 구매 조건으로 연결할 때 개인 경험의 범위를 어떻게 지킬까?,여성건강·생활용품,생리·오드리선·4년사용·장기사용후기,1,1.26,https://www.instagram.com/myo_yaksa/reel/DbksfilvaHD/,2026-08-04,미측정,중,중,높음,김주성·오약·선영·공용,후보,검토,장기 사용 기간은 신뢰 신호로 쓰되 객관적 성능과 분리 | 최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbksfilvaHD에서 배수 1.26 확인
TOPIC-EXTRA-VIRGIN-OLIVE-OIL-COOKING-001,엑스트라 버진 올리브오일 조리,발연점·산화 안정성 설명을 개인 의견 고지와 함께 생활 조리 판단 기준으로 전달할 수 있을까?,식품·생활건강,엑스트라버진·올리브오일·발연점·산화·조리,1,,https://www.instagram.com/myo_yaksa/p/DbfdNX5j4Qq/,2026-08-01,미측정,중,중,중,김주성·오약·선영·공용,후보,검토,식품 정보와 개인 의견을 구분하고 질환 효능으로 확대하지 않음
