핸들,이름,계정유형,국가,팔로워,게시물수,최근30일게시수,최근12개중앙조회수,최고조회수,배수상위3개,평소좋아요율,주력카테고리,최근20개중광고수,공구·판매링크운영,배정적합(김·오·선),등급(S·A·B·제외),허수판정,허수사유,마지막정면채굴일시,마지막확인shortcode,재방문예정일,발굴경로(엔진·시드계정),이계정채택수,사람검토,사람메모
awesomeyaksa,어떤약사 | 약사 박지인,국내 약사 인플루언서,,2.3만,221,,79000,1315000,2.39x(DbW6PKSiPye); 2.04x(Dbh7e3SibuM); 0.05x(Dbb5cE1y-kx),,건강·뷰티·혈당·다이어트·아이영양,,있음,김주성·오약·선영·공용,B,실계정,,2026-08-04T23:37:54+09:00,Dbh7e3SibuM,2026-08-11T23:37:54+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음
donggong_yak,동공이 약사,국내 약사 인플루언서,,14.5만,505,,51500,153000,0.89x(DbRflVwTvzf); 0.56x(Dbg8ZqUTag2); 0.41x(DbmF-D_To9c),0.077318,약국·피부·수면·건강상식·브랜드 협업,,있음,김주성·오약·선영·공용,B,실계정,,2026-08-04T23:46:02+09:00,DbmF-D_To9c,2026-08-11T23:46:02+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음
yaksa_nam,남약사 남기헌 l 임신·난임·출산,국내 약사 인플루언서,,5.4만,464,9,47000,325000,,,임신·난임·출산·임신 영양제,,있음,김주성·오약·선영·공용,B,실계정,,2026-08-05T23:39:20.281Z,DZlxJIpidTS,2026-09-05T08:39:20.281+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
jasin_yaksa,자신있는 약상담ㅣ자신약사ㅣ허자신,국내 약사 인플루언서,,8.8만,721,,15500,278000,,,건강·뷰티·육아정보·영양제,,,공용,B,실계정,,2026-08-08T14:53:28+09:00,DYhOESPzjEf,2026-09-07T14:53:28+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정 | 2026-08-08 로그인 read-only recent12 12/12 확인: 중앙값 15,500회, 최고 278,000회; 첫 3개 타일 고정 릴. 최근30 게시수·평소 좋아요율·최근20 광고수는 직접 근거 없음"
good.yaksa,바른약ㅣ약사ㅣ최길문,국내 약사 인플루언서,,28.9만,290,,306500,1131000,,1.00%,건강·뷰티·영양제·성분분석,,,오약·선영·공용,B,실계정,,2026-08-08T13:10:43+09:00,DbIFM0oieXv,2026-09-07T13:10:43+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 0/12, 공개 좋아요 12/12, 평소좋아요율 1.00% | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음 | 2026-08-08 로그인 세션 재확인: 최신 릴스 21개 중 최근12개 조회수 26.5만·15.2만·40.2만·42.2만·9.9만·74만·20만·113.1만·25.3만·78.9만·19.9만·34.8만 확인; 중앙값 306500·최고조회수 1131000 반영; 최근30일게시수·평소좋아요율·최근20개중광고수는 미확인"
gureumpharm,구름약사 박하늘 | 가까이 있는 약사친구,국내 약사 인플루언서,,9.8만,860,,32000,185000,,,약국·건강·영양제·심리학,,,오약·선영·공용,B,실계정,,2026-08-08T14:22:26+09:00,DbpYp1cTEk2,2026-09-07T14:22:26+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정 | 2026-08-08 logged-in read-only recent12: 12/12 reel views; median 32000; max 185000; no pinned tile indicator exposed; recent30 post count, usual-like rate, and recent20 ad count unresolved."
ggogi_yaksa,꼬기약사 ☆ 고기현,국내 약사 인플루언서,,1.2만,2314,,,,,0.55%,건강 큐레이션·영양제·건강정보·스마힐,,,김주성·오약·선영·공용,B,실계정,,2026-08-09T03:24:34+09:00,DbV9pG8JNci,2026-09-08T03:24:34+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 0/12, 공개 좋아요 12/12, 평소좋아요율 0.55% | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정 | 2026-08-09 로그인 read-only 재확인: 프로필 게시물 2314, 팔로워 1.2만, 팔로우 7498, Instagram 카테고리 디지털 크리에이터. bio에 즐거운 건강 큐레이션·스마힐 대표·블로그/유튜브 운영과 naver.me 링크가 노출됨. 프로필의 기존 릴스 shortcode DbV9pG8JNci는 확인했지만 조회수는 노출되지 않았고 /reels/ 탭에도 새 릴스·조회수가 없어 최근12 중앙값·최고조회수는 미기록으로 유지."
shine_yaksa,샤인약사ㅣ염증 관리 전문 약사ㅣ김혜란,국내 약사 인플루언서,,11.1만,496,,40000,386000,,,염증·뱃살·여드름·영양제·건강상담,,,김주성·오약·선영·공용,B,실계정,,2026-08-08T14:46:12+09:00,DZNR_QhPhpk,2026-09-07T14:46:12+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정 | 2026-08-08 로그인 read-only recent12 12/12 확인: 중앙값 40,000회, 최고 386,000회; 첫 2개 타일 고정 릴. 최근30 게시수·평소 좋아요율·최근20 광고수는 직접 근거 없음"
lee_pharmacy_,약빵약사 | Health & Wellness | 서울대 약사,국내 약사 인플루언서,,13.8만,1921,,51000,341000,,0.57%,건강·뷰티·영양제·쉬운 레시피,,,김주성·오약·선영·공용,B,실계정,,2026-08-08T13:52:04+09:00,DbvYNm4xya8,2026-09-07T13:52:04+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 0/12, 공개 좋아요 12/12, 평소좋아요율 0.57% | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음 | 2026-08-08 logged-in read-only recent12 recheck: 12 reel views exposed; latest12 median 51000 and max 341000; evidence DbvYNm4xya8 through DbN1yT9xxEP; other account metrics remain unresolved."
pharmacist_bin,약사 안효빈,국내 약사 인플루언서,,1609,76,6,3207.5,58000,,,약국 건강팁·의료건강·약사 마케팅,,,김주성·오약·선영·공용,B,실계정,,2026-08-05T23:50:45.958Z,DS9n_-kCU-s,2026-09-05T08:50:45.958+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
yak_secret,약사비책 | 약사 고신형,국내 약사 인플루언서,,12.9만,1194,9,24500,3019000,,,혈당·염증·뱃살·영양제·다이어트,,,김주성·오약·선영·공용,B,실계정,,2026-08-08T13:59:37+09:00,DbQb9w3RdK3,2026-09-07T13:59:37+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음 | 2026-08-08 logged-in read-only recent12 recheck: 12 reel views exposed; latest12 median 24500 and max 3019000; first 3 tiles visibly pinned in the DOM; evidence DbQb9w3RdK3 through Dbh42rCxp2B; other account metrics remain unresolved.
kkamang_yacksa,스포츠약사·까망약사,국내 약사 인플루언서,,3836,1010,,2241.5,9709,,,스포츠약학·스포츠영양·운동 퍼포먼스,,,김주성·오약·공용,B,실계정,,2026-08-05T15:48:31.3688371Z,DZUts3Jpxpz,2026-09-05T00:48:31.368+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
dreamyaksa_,이종우 | 드림약사,국내 약사 인플루언서,,15만,487,,131500,860000,,0.78%,영양제·피부·자기관리·식이섬유,,,김주성·오약·선영·공용,B,실계정,,2026-08-08T13:48:35+09:00,DQEYMz1E2wb,2026-09-07T13:48:35+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 0/12, 공개 좋아요 10/12, 평소좋아요율 0.78% | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정 | 2026-08-08 logged-in read-only recent12 recheck: 12 reel views exposed; latest12 median 131500 and max 860000; first 3 tiles visibly pinned in the DOM; evidence DQEYMz1E2wb through DZ-EswfzpdL; other account metrics remain unresolved."
wikiyaksa,위키약사 · 이평화,국내 약사 인플루언서,,25.3만,226,8,27500,602000,,0.18%,영양제·가족건강·아빠건강·리포좀,,,김주성·오약·선영·공용,B,실계정,,2026-08-08T13:18:37+09:00,Dbs77GFP9Im,2026-09-07T13:18:37+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 0/12, 공개 좋아요 12/12, 평소좋아요율 0.18% | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음 | 2026-08-08 logged-in read-only recent12 recheck: 21 reel views exposed; latest12 median 27500 and max 602000; evidence Dbs77GFP9Im through Daz5F-nPzb6. DbqI_XAPcib was 11000 views in the initial DOM snapshot; after scroll the same link showed likes and comments first. Other account metrics remain unresolved."
realofh2o,약사 이진수💊,국내 약사 인플루언서,,6955,28,2,11500,192000,,,약물안전·감기·소화·피부,,,김주성·오약·선영·공용,B,실계정,,2026-08-05T23:50:45.958Z,DUFpZFYkyXA,2026-08-12T00:04:50+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음"
hongsee_yaksa,홍시약사 l 홍신영,국내 약사 인플루언서,,1.8만,64,0,15500,118000,,,영양정보·글루타치온·콜라겐·비타민B·마그네슘,,,김주성·오약·선영·공용,B,실계정,,2026-08-05T15:35:56.5048051Z,CzBlI3RLF4t,2026-09-05T00:35:56.504+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
charmacist_official,약국체인•약사플랫폼 참약사,국내 메디컬 인접 계정,,4731,438,0,154,56000,,,약국·약사플랫폼·약국인테리어·건강기능식품,,,공용,B,실계정,,2026-08-08T12:55:14+09:00,DYoDyruE4k7,2026-09-05T09:27:06.777+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 9/12만 확인, 중앙값·최고조회수 미기록 사유: 공개 프로필 릴스 9건만 노출 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정 | 2026-08-08 로그인 세션 재확인: 최신 릴스 17개 중 최근 12개 조회수 56000·2469·1212·1226·145·163·693·96·59·63·118·101 확인; 중앙값 154·최고조회수 56000 반영; 최근30일게시수·평소좋아요율·최근20개 광고수는 미확인"
friendly_pharmabros_official,친한약사,국내 메디컬 인접 계정,,432,116,,192,585,,,약사상담 플랫폼·약국·건강정보,,,공용,B,실계정,,2026-08-05T18:02:22.983Z,DZd7sCQvPNO,2026-08-12T00:09:58+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 12/12 확인, 공개 좋아요 미노출로 평소좋아요율 미기록 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음"
spring_pharmy,봄약사ㅣ 항노화관리 동안 약사,국내 약사 인플루언서,,7.6만,669,,45500,598000,,,항노화·운동·식습관·영양제,,있음,김주성·오약·선영·공용,B,실계정,,2026-08-09T03:16:47+09:00,DOnf2Goj5oj,2026-09-08T03:16:47+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정 | 2026-08-09 로그인 read-only 재확인: 프로필 게시물 669, 팔로워 7.6만, 팔로우 559, Instagram 카테고리 의료 및 건강. 릴스 최근12개 조회수 59.8만·5.1만·5.2만·4621·5.8만·2.5만·1.5만·15.9만·5.6만·8137·7621·4만; 숫자 환산 중앙값 45500, 최고조회수 598000. bio에 근거있고 실천 가능한 동안 관리, 운동과 식습관·영양제 상담, 샤르르 눈꽃 비타민C 공구중 및 inpk.link/spring_pharmy 노출. 최근30일 게시수·좋아요율·콘텐츠별 광고여부는 미확인."
lilly_yaksa,릴리 김소정 | 쉽고 정직한 건강정보,국내 메디컬 인접 계정,,27.5만,1683,,165000,1962000,,,건강정보·영양제·맞춤상담,,,공용,B,실계정,,2026-08-06T00:05:22.194Z,DbXqYX4DyzJ,2026-09-05T09:05:22.194+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
