ID,발견일시,발견엔진,계정핸들,계정명,팔로워,계정유형,국가,게시일,경과일,영상URL,shortcode,형식(릴스·캐러셀),길이초,조회수,좋아요,댓글,계정중앙조회수,배수,좋아요율,계정평소좋아요율,참여율비,댓글좋아요비,광고점수,광고판정,광고근거,카테고리,소주제,진입각도,증상·성분키워드,포맷ID,훅유형,훅문구(첫3초 자막 원문),구조,편집장치,촬영,길이대,음원명,포맷소진도,국내약사사용계정수,이식후보여부,용도(내용·형식·둘다),배정가능(김주성·오약·선영·공용·불가),등급,제외사유,한줄요약,왜터졌나(가설),우리버전제안(훅 문구 3개),캡처파일,이식심사점수,사람검토,사람메모,지표수집일시,썸네일파일,게이트판정,게이트근거,등급근거,유료도달의심,유료도달근거
DDIBYAKSA-DSjLo3qEj_-,2026-08-05T15:29:29.500Z,E2-게이트후보,ddib_yaksa,띱약사 조연서 | 영양제 • 이너뷰티 약사,27000,국내 약사 인플루언서,국내,2025-12-21,228,https://www.instagram.com/ddib_yaksa/reel/DSjLo3qEj_-/,DSjLo3qEj_-,릴스,28,2340000,8206,573,,,0.003507,,,0.0698,0,광고아님,캡션에 광고 표기 없음. 증상 원리와 일반 대응 팁 중심.,약물안전·복약,러너스 이치·콜린성 두드러기,운동 중 가려움의 원리와 예방·대응,러너스이치·콜린성두드러기·히스타민·항히스타민제·운동알레르기,FMT-ALLERGY-MECHANISM-ACTION-001,문제 해결형,"뛰기만 하면 가려운 이유, 러너스 이치",증상 제시→혈관·신경·히스타민 원리→생활 대응과 항히스타민제 팁,증상 키워드 강조·원인 단계 자막·대응 팁 카드,,,,여유 있음,1,,내용·형식,김주성·오약·선영,S,,"운동할 때 발생하는 러너스 이치와 콜린성 두드러기의 발생 원리, 보습·환기·항히스타민제 대응을 설명한 릴스",낯선 증상명을 먼저 제시하고 원인과 실천 팁을 짧게 연결해 검색·저장 수요를 만든다.,운동만 하면 가려운 사람 체크; 땀날 때 두드러기가 나는 이유; 운동 전 약을 먹어도 되나요,,,검토,"OG에서 2025-12-21, 조회수 2,340,000, 좋아요 8,206, 댓글 573 확인. 캡션에 광고 표기 없음.; 카테고리 §5 정규화(2026-08-06): 약물안전 → 약물안전·복약; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요 콘텐츠 행의 훅·구조·편집장치를 직접 포맷 지문으로 사용해 FMT-ALLERGY-MECHANISM-ACTION-001에 연결. 계정 유형으로 국내 약사 사용 1계정을 확인하고 추가 사용 수·E10 역추적은 미측정. 2026-08-07T14:33:21+09:00 E3 직접 읽기: 로그인 Instagram reel DOM 영상 player duration_seconds 27.885713, 표시 0:27. 길이초 28초 기록; 캡처파일 저장 없음.",2026-08-06T04:20:00.000Z,DSjLo3qEj_-.jpg,통과,"1만~5만 구간(배수 34.41/6, 조회수 234만/10만, 팔로워 2.7만)",S: 팔로워 27000 · 조회수 2340000,불명,참여율비 없음
HAYUPHARMACI-DanMzctNKQ2,2026-08-05T15:25:53.145Z,E2-게이트후보,hayu_pharmacist,하유약사 | 이지영 | 염증 & 혈당,54000,국내 약사 인플루언서,국내,2026-07-10,27,https://www.instagram.com/hayu_pharmacist/reel/DanMzctNKQ2/,DanMzctNKQ2,릴스,47,2245000,20000,111,,,0.008909,,,0.0056,0,광고아님,"캡션에 NO광고를 명시했고, 제품 비교 정보 중심.",약물안전·복약,인공눈물 순위와 렌즈 호환,렌즈 착용 가능 여부·보습력·성분 비교,인공눈물·렌즈·PDRN·히알루론산·보습인자·안구건조,FMT-LENS-RANKING-COMPARE-001,순위 비교형,"인공눈물 7위부터 1위까지, 렌즈 착용자는 꼭 확인",순위 공개→성분·보습력·렌즈 호환 비교→추천 대상 정리,순위 카운트다운·성분 자막·렌즈 아이콘,,,,여유 있음,1,,내용·형식,김주성·오약·선영,S,,인공눈물 7종을 보습 성분과 렌즈 착용 가능 여부로 비교한 순위형 릴스,소비자가 바로 고르기 어려운 제품군을 순위와 사용 조건으로 단순화했다.,렌즈 낀 채 넣어도 되는 인공눈물; 약사가 고른 안구건조템; PDRN 인공눈물은 누구에게 맞나요,,,검토,"OG에서 2026-07-10, 조회수 2,245,000, 좋아요 20,000, 댓글 111 확인. 캡션에 NO광고 명시.; 카테고리 §5 정규화(2026-08-06): 약물안전 → 약물안전·복약; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요; 캡처 재시도(2026-08-07): 릴스 DOM·본문·표시 지표·게시일 확인 후 Page.captureScreenshot 처리 중 대상 탭 닫힘; 캡처파일 공란 유지·개별 재시도 필요 콘텐츠 행의 훅·구조·편집장치를 직접 포맷 지문으로 사용해 FMT-LENS-RANKING-COMPARE-001에 연결. 계정 유형으로 국내 약사 사용 1계정을 확인하고 추가 사용 수·E10 역추적은 미측정. E3 직접 읽기: 로그인 Instagram reel DOM 영상 player duration_seconds 46.6, 표시 0:46 확인; 길이초 47초 기록; 캡처파일 저장 없음.",2026-08-06T04:20:00.000Z,DanMzctNKQ2.jpg,통과,"5만~10만 구간(배수 43.59/5, 조회수 224.5만/30만, 팔로워 5.4만)",S: 팔로워 54000 · 조회수 2245000,불명,참여율비 없음
YAKSANAM-DDZpK-WTpce,2026-08-05T15:27:43.388Z,E2-게이트후보,yaksa_nam,남약사 남기헌 l 임신·난임·출산,54000,국내 약사 인플루언서,국내,2024-12-10,604,https://www.instagram.com/yaksa_nam/reel/DDZpK-WTpce/,DDZpK-WTpce,릴스,8,325000,1430,7155,,,0.004400,,,5.0035,1,불명,팔로우·댓글 키워드→정리본 DM 제공 CTA와 임신 성공 표현이 있으나 캡션 광고 표기는 없음.,증상,임신 준비와 영양제,임신 준비 정보를 하루 만에 훑는 체크리스트,임신준비·엽산·임신영양제·난임·출산,FMT-PRECONCEPTION-CHECKLIST-DM-001,체크리스트형,"임신 준비, 이것부터 챙기세요",임신 준비 질문→영양제·생활 체크리스트→댓글 키워드 DM CTA,체크리스트 자막·핵심 성분 강조·저장 CTA,,,,여유 있음,1,,내용·형식,오약·선영,A,,임신 준비 과정에서 확인할 영양제와 생활 정보를 체크리스트로 정리한 여성건강 릴스,구체적인 준비 단계와 댓글 키워드 자료 제공을 결합해 예비 부모의 저장·공유 수요를 자극한다.,임신 준비 한 달 전 체크리스트; 엽산은 언제부터 먹나요; 난임 준비에서 약사에게 가장 많이 묻는 질문,,,검토,"OG에서 2024-12-10, 조회수 325,000, 좋아요 1,430, 댓글 7,155 확인. 캡션에 팔로우·댓글 키워드→정리본 DM CTA와 '딱 하루 만에 임신 성공' 표현이 있어 광고 판정은 불명.; 카테고리 §5 정규화(2026-08-06): 여성건강 → 증상; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요 콘텐츠 행의 훅·구조·편집장치를 직접 포맷 지문으로 사용해 FMT-PRECONCEPTION-CHECKLIST-DM-001에 연결. 계정 유형으로 국내 약사 사용 1계정을 확인하고 추가 사용 수·E10 역추적은 미측정. E3 직접 읽기: 로그인 Instagram reel DOM 영상 player duration_seconds 8.475283, 표시 0:08 확인; 길이초 8초 기록; DOM 게시일 2024-12-10은 원장 게시일과 일치; 표시 댓글 7.2천·OG 댓글 7,157은 기존 원장 댓글 7,155와 달라 기존 지표 유지; 캡처파일 저장 없음.",2026-08-06T04:20:00.000Z,DDZpK-WTpce.jpg,통과,"5만~10만 구간(배수 6.91/5, 조회수 32.5만/30만, 팔로워 5.4만)",A: 조회수 325000 ≥ 10만,불명,참여율비 없음
TIMEPHARM-DZwymy0xZ1F,2026-08-05T15:47:19.680Z,E2-게이트후보,timepharm,염혜진약사|타임팜|인생약사,5112,국내 약사 인플루언서,국내,2026-06-19,48,https://www.instagram.com/timepharm/reel/DZwymy0xZ1F/,DZwymy0xZ1F,릴스,19,3117000,7566,133,,,0.002427,,,0.0176,0,광고아님,캡션에 광고 표기 없음. 약국 장비와 조제 과정 소개 중심.,약물안전·복약,약국 조제 장비·조제 과정,약국 안쪽의 익숙하지 않은 장비를 소리와 장면으로 공개,약국기계·약국장비·PTP·알약분쇄기·처방전출력,FMT-PHARMACY-ASMR-BEHIND-001,ASMR·비하인드형,"약국 ASMR, 소리 켜고 들어보세요",장비 소리 제시→장비별 역할 설명→고장 징후와 현장 반응,장비 클로즈업·소리 중심 편집·장비명 자막,,,,여유 있음,1,,형식,김주성,S,,PTP 포장기·알약 분쇄기·처방전 출력 장비를 약국 현장 ASMR과 짧은 설명으로 보여준 릴스,"약국 내부의 비공개성이 호기심을 만들고, 장비 소리와 작동 원리를 결합해 시청 지속을 유도한다.",약국에서 나는 소리의 정체; 약사가 매일 쓰는 장비 3가지; 알약은 약국에서 어떻게 가루가 되나요,,,검토,"OG에서 2026-06-19, 조회수 3,117,000, 좋아요 7,566, 댓글 133 확인. 의료 정보보다 약국 이야기·형식 레퍼런스로 채택.; 카테고리 §5 정규화(2026-08-06): 약물안전 → 약물안전·복약; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요 콘텐츠 행의 훅·구조·편집장치를 직접 포맷 지문으로 사용해 FMT-PHARMACY-ASMR-BEHIND-001에 연결. 계정 유형으로 국내 약사 사용 1계정을 확인하고 추가 사용 수·E10 역추적은 미측정. | 2026-08-07T14:13:34+09:00 E1 캡처 재시도: 로그인된 릴스 DOM·본문·0:19 영상 플레이어를 확인했으나 영상 영역 Page.captureScreenshot가 CDP timeout으로 실패. 프레임 파일은 저장하지 않았고 캡처파일은 공란 유지. | 2026-08-07T14:20:42+09:00 E0 길이초 보정: raw의 로그인 영상 플레이어 직접 duration_seconds 19.063582를 19초로 기록.",2026-08-06T04:25:00.000Z,DZwymy0xZ1F.jpg,통과,"1만 미만 구간(배수 285.39/8, 조회수 311.7만/3만, 팔로워 5112)",S: 팔로워 5112 · 조회수 3117000,불명,참여율비 없음
YOURHSIS-DaeBdcehd4H,2026-08-05T15:43:22.878Z,E2-게이트후보,yourhsis,약사동생,7710,국내 약사 인플루언서,국내,2026-07-05,32,https://www.instagram.com/yourhsis/reel/DaeBdcehd4H/,DaeBdcehd4H,릴스,15,1582000,12000,378,,,0.007585,,,0.0315,0,광고아님,캡션에 광고 표기 없음. 번아웃 자가점검 중심.,생활습관,번아웃 자가점검,해당 개수를 직접 세게 하는 질문형 자가점검,번아웃·정신건강·자가점검·직장인스트레스,FMT-SYMPTOM-SELF-CHECK-001,자가진단형,이 중 몇 개나 해당하세요?,질문 제시→증상 항목 나열→댓글 경험 공유,번호형 증상 자막·체크 유도·짧은 반복 컷,,,,여유 있음,1,,내용·형식,김주성·오약·선영,S,,번아웃 관련 증상 항목을 나열하고 해당 개수를 세게 만든 자가점검형 릴스,진단을 단정하지 않고 시청자가 자신의 상태를 항목별로 대입하게 해 댓글 참여를 만든다.,번아웃이 의심될 때 나타나는 신호; 쉬어도 회복되지 않는다면; 약사가 보는 스트레스 자가점검,,,검토,"OG에서 2026-07-05, 좋아요 표시 1.2만, 댓글 378 확인. 본문 하단 표시 날짜는 7월 7일로 보여 날짜 차이를 사람메모에 남김. 조회수 1,582,000은 후보 큐 기록 사용.; 카테고리 §5 정규화(2026-08-06): 정신건강·생활습관 → 생활습관; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요 콘텐츠 행의 훅·구조·편집장치를 직접 포맷 지문으로 사용해 FMT-SYMPTOM-SELF-CHECK-001에 연결. 계정 유형으로 국내 약사 사용 1계정을 확인하고 추가 사용 수·E10 역추적은 미측정. E3 직접 읽기: 로그인 Instagram reel DOM 영상 player duration_seconds 14.534239, 표시 0:14 확인; 길이초 15초 기록. DOM 표시 게시일 2026-07-07은 기존 원장 게시일 2026-07-05와 달라 게시일 유지; 표시 좋아요 1.2만·댓글 379는 기존 지표와 달라 덮어쓰지 않음; 캡처파일 저장 없음.",2026-08-06T04:25:00.000Z,DaeBdcehd4H.jpg,통과,"1만 미만 구간(배수 14.38/8, 조회수 158.2만/3만, 팔로워 7710)",S: 팔로워 7710 · 조회수 1582000,불명,참여율비 없음
YAKGUIDE-DZFEzk5vLQt,2026-08-05T15:49:28.530Z,E2-게이트후보,yak_guide,별약사의 약슐랭가이드,2158,국내 약사 인플루언서,국내,2026-06-02,65,https://www.instagram.com/yak_guide/reel/DZFEzk5vLQt/,DZFEzk5vLQt,릴스,8,883000,2726,85,,,0.003087,,,0.0312,1,불명,피부 성분 조합 설명과 함께 특정 세럼 제품명을 다수 제시했으나 캡션 광고 표기는 없음.,피부·뷰티,피부 성분 조합과 사용 순서,같이 쓰면 자극될 수 있는 성분 조합을 아침·저녁으로 분리,비타민C·레티놀·AHA·BHA·살리실산·나이아신아마이드·피부장벽,FMT-SKIN-COMBINATION-CAUTION-001,금지 조합형,같이 쓰면 피부 뒤집어지는 조합 3가지,주의 조합 제시→자극 원리→사용 시간 분리→예시 제품 정보,조합별 경고 아이콘·성분명 자막·아침/저녁 색상 구분,,,,여유 있음,1,,내용·형식,선영,S,,비타민 C·레티놀·AHA/BHA·나이아신아마이드 조합의 주의점과 사용 시간을 정리한 피부 콘텐츠,성분 조합을 금지 목록처럼 보여주고 사용 시간을 나눠 제안해 저장과 제품 탐색을 유도한다.,같이 바르면 안 되는 피부 성분; 아침에 쓰는 성분과 밤에 쓰는 성분; 레티놀 초보 조합표,,,검토,"OG에서 2026-06-02, 조회수 883,000, 좋아요 2,726, 댓글 85 확인. 캡션에 제품명이 다수 포함되고 광고 표기는 없어 광고 판정은 불명.; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요 콘텐츠 행의 훅·구조·편집장치를 직접 포맷 지문으로 사용해 FMT-SKIN-COMBINATION-CAUTION-001에 연결. 계정 유형으로 국내 약사 사용 1계정을 확인하고 추가 사용 수·E10 역추적은 미측정. E3 직접 읽기: 로그인 Instagram reel DOM 영상 player duration_seconds 8.033333, 표시 0:08 확인; 길이초 8초 기록; DOM 게시일 2026-06-02는 원장 게시일과 일치; 표시 좋아요 2.7천·댓글 86은 기존 지표와 달라 덮어쓰지 않음; 캡처파일 저장 없음.",2026-08-06T04:25:00.000Z,DZFEzk5vLQt.jpg,통과,"1만 미만 구간(배수 15.91/8, 조회수 88.3만/3만, 팔로워 2158)",S: 팔로워 2158 · 조회수 883000,불명,참여율비 없음
YAKSAHWANGHA-DZ7ILajPZlE,2026-08-05T15:51:59.451Z,E2-게이트후보,yaksa_hwanghaeyeon_,황해연 푸드닥터,2121,국내 약사 인플루언서,국내,2026-06-23,44,https://www.instagram.com/yaksa_hwanghaeyeon_/reel/DZ7ILajPZlE/,DZ7ILajPZlE,릴스,59,170000,1058,42,,,0.006224,,,0.0397,0,광고아님,제품 판매 CTA나 광고 표기 없이 약물·다이어트 주제 설명 중심.,약물안전·복약,위고비·마운자로 효과 저하,약물 다이어트 효과가 줄어드는 이유를 질문형으로 제시,위고비·마운자로·GLP-1·체중감량·인슐린저항성·요요,FMT-DRUG-EFFECT-QUESTION-001,질문·이유 설명형,위고비나 마운자로가 시간이 지날수록 덜 듣는 이유,효과 저하 질문→약물·체중 변화 설명→댓글 반응 유도,약물명 강조·시간 경과 표현·질문형 자막,,,,여유 있음,1,,내용·형식,오약·선영,A,,위고비와 마운자로의 체중감량 효과가 시간이 지나며 줄어드는 이유를 다룬 약물·다이어트 릴스,사용자가 실제로 겪는 효과 저하 질문을 제목에 그대로 올려 약물 정보 탐색 수요를 만든다.,다이어트 주사 효과가 줄었다면 확인할 것; GLP-1 약물은 왜 plateau가 오나요; 중단 후 요요를 줄이는 방법,,,검토,"OG에서 2026-06-23, 조회수 170,000, 좋아요 1,058, 댓글 42 확인. 제품 판매·광고 표기 없음. 캡션 본문 확인 범위가 짧아 구체적 의학 근거는 사람 검토에서 재확인.; 카테고리 §5 정규화(2026-08-06): 약물안전·다이어트 → 약물안전·복약; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요 콘텐츠 행의 훅·구조·편집장치를 직접 포맷 지문으로 사용해 FMT-DRUG-EFFECT-QUESTION-001에 연결. 계정 유형으로 국내 약사 사용 1계정을 확인하고 추가 사용 수·E10 역추적은 미측정. E3 직접 읽기: 로그인 Instagram reel DOM 영상 player duration_seconds 59.1, 표시 0:59 확인; 길이초 59초 기록; DOM 게시일 2026-06-23은 원장 게시일과 일치; 표시 좋아요 1.1천·댓글 42는 기존 지표를 덮어쓰지 않음; 캡처파일 저장 없음.",2026-08-06T04:25:00.000Z,DZ7ILajPZlE.jpg,통과,"1만 미만 구간(배수 181.14/8, 조회수 17만/3만, 팔로워 2121)",A: 조회수 170000 ≥ 10만,불명,참여율비 없음
SANIANDHAENG-DQln2-mkh0P,2026-08-05T16:16:05.396Z,E2-게이트후보,sani_and_haeng,사니엘블랑 𝑠𝑎𝑛𝑖 𝐿 / 르메이엘 𝑙𝑒 𝑚𝑒𝑖𝑙𝑙,212000,국내 메디컬 인접 계정,국내,2025-11-03,276,https://www.instagram.com/sani_and_haeng/reel/DQln2-mkh0P/,DQln2-mkh0P,릴스,15,,1553375,539,,,,,,0.0003,0,광고아님,캡션에 광고 표기 없음. 제품 사용 장면 중심이나 협찬 문구는 확인되지 않음.,피부·뷰티,마스크팩·친구들과 함께하는 제품 사용,비행기 안의 공통 상황을 친구들과 제품 사용 장면으로 확장,"마스크팩, 비행기, 친구, 공동 사용, 피부관리",FMT-BEAUTY-SHARED-SITUATION-COMEDY-001,상황극·반전,비행기에서 마스크팩을 하는 사람보다 진짜 빌런은 따로 있다,비행기 안 시선 집중 상황 제시 → 제품 사용 장면 → 친구들이 함께 참여하는 반전,"표정 중심 빠른 컷, 상황 자막, 제품 사용 장면 반복",,,,무주공산,0,,내용·형식,선영,판정불가(지표없음),,비행기 안에서 혼자 마스크팩을 하던 인물이 친구들에게 제품을 나눠주며 함께 사용하는 상황극형 피부·뷰티 콘텐츠,낯선 장소의 시선과 친구 관계의 반응을 제품 사용 장면에 결합해 제품 설명보다 공유 욕구와 웃음을 먼저 만든다.,"촬영 장소의 시선을 끄는 행동으로 시작하고, 동료가 따라 하며 제품 사용 장면이 자연스럽게 확장되는 구조",,,검토,"2026-08-06 재방문. 페이지 JSON에서 좋아요 1,553,375, 댓글 539, view_count=null 확인. 하단 155.3만은 조회수가 아니라 좋아요 수로 확인되어 조회수·배수·좋아요율은 빈칸 유지. 후보 큐의 예상 조회수는 사용하지 않음.; 용도 정규화(2026-08-06): 목표 허용값 기준으로 콘텐츠·형식를 내용·형식로 정리",2026-08-05T19:40:00.000Z,DQln2-mkh0P.jpg,판정불가(지표없음),"페이지 JSON에서 view_count=null 확인. 좋아요 1,553,375·댓글 539만 공개되어 조회수 게이트 판정 불가.",판정불가(지표없음): 조회수 없음,불명,참여율비 없음
DRWONGU-DOvJdTJkoyY,2026-08-05T16:25:27.326Z,E2-게이트후보,dr.wongu,닥터원구의 K-beauty l 그대고운피부과 대표원장 이원구,36000,국내 메디컬 인접 계정,국내,2025-09-18,322,https://www.instagram.com/dr.wongu/reel/DOvJdTJkoyY/,DOvJdTJkoyY,릴스,10,,230412,704,,,,,,0.0031,0,광고아님,캡션에 광고 표기나 제품 판매 CTA 없음. 병원 내부 공감 상황극 중심.,피부·뷰티,피부과 직장 공감·회의 전 스트레칭,병원 내부의 졸음 상황을 직장인 공감과 댓글 유도로 전환,"피부과, 직장인, 회의, 졸음, 스트레칭, 공감",,공감 질문·상황극,점심 먹고 회의에 들어오면 졸아봤다 vs 아니다,공감 질문 → 원장과 직원의 짧은 상황극 → 태그·댓글 참여 유도,"대사 중심 짧은 컷, 표정 리액션, 한국어·영어 자막 병기",,,,무주공산,0,,형식,선영,판정불가(지표없음),,피부과 회의에서 졸음이 오는 상황을 원장과 직원의 짧은 연기로 보여주고 시청자에게 경험을 묻는 공감형 릴스,의료 지식 전달 없이도 병원 내부의 실제 공간과 직장인 공감 질문만으로 댓글 참여를 만든다.,"약국·진료실의 실제 업무 장면에서 누구나 겪는 실수를 먼저 보여주고, 마지막에 시청자 경험을 묻는 짧은 스킷",,,검토,"2026-08-06 재방문. 페이지 JSON에서 좋아요 230,412, 댓글 704, view_count=null 확인. 하단 23만은 조회수가 아니라 좋아요 수로 확인되어 조회수·배수·좋아요율은 빈칸 유지. 후보 큐의 예상 조회수는 사용하지 않음.",2026-08-05T19:40:00.000Z,DOvJdTJkoyY.jpg,판정불가(지표없음),"페이지 JSON에서 view_count=null 확인. 좋아요 230,412·댓글 704만 공개되어 조회수 게이트 판정 불가.",판정불가(지표없음): 조회수 없음,불명,참여율비 없음
MEDICALNEWSR-DPD1s_mDznh,2026-08-05T16:16:05.577Z,E2-게이트후보,medical_newsroom,메디컬뉴스룸,185000,국내 메디컬 인접 계정,국내,2025-09-26,314,https://www.instagram.com/medical_newsroom/reel/DPD1s_mDznh/,DPD1s_mDznh,릴스,25,,10152,435,,,,,,0.0428,0,광고아님,역사 자료 설명 중심이며 제품 판매·협찬 CTA 없음.,다이어트,여성 체형 관리의 역사·슬리밍 기구,과거의 체형 관리 도구를 역사 자료와 현재 시청자의 시선으로 비교,"여성건강, 체형관리, 슬리밍머신, 역사자료, 피트니스",,과거 자료·의외성,1941년 여성 전용 체육관에는 지금과 전혀 다른 운동 기구가 있었다,시대·장소 제시 → 아카이브 영상 → 당시의 미용·체형 기준 설명 → 현재와 비교,"기록 영상 중심, 짧은 설명 자막, 역사적 맥락을 덧붙이는 내레이션",,,,무주공산,0,,형식,오약·선영,판정불가(지표없음),,1941년 여성 전용 체육관의 진동 벨트와 나무 롤러를 보여주며 당시의 체형 관리 인식과 현재의 운동 문화를 비교하는 아카이브형 릴스,낯선 과거 자료를 먼저 보여준 뒤 당시의 건강·미용 인식을 설명해 시청자가 역사와 현재를 비교하게 만든다.,"약국·건강관리의 과거 도구나 오래된 광고 자료를 먼저 보여주고, 현재 기준에서 무엇이 달라졌는지 설명하는 아카이브 포맷",,,검토,"2026-08-06 재방문. 페이지 JSON에서 좋아요 10,152, 댓글 435, view_count=null 확인. 하단 1만은 조회수가 아니라 좋아요 수로 확인되어 조회수·배수·좋아요율은 빈칸 유지. 후보 큐의 예상 조회수는 사용하지 않음.; 카테고리 §5 정규화(2026-08-06): 생활습관 → 다이어트",2026-08-05T19:40:00.000Z,DPD1s_mDznh.jpg,판정불가(지표없음),"페이지 JSON에서 view_count=null 확인. 좋아요 10,152·댓글 435만 공개되어 조회수 게이트 판정 불가.",판정불가(지표없음): 조회수 없음,불명,참여율비 없음
DRHAIRLEE-DWfGKskksK9,2026-08-05T16:30:12.014Z,E2-게이트후보,dr.hair_lee,압구정 헤어닥터 이건민,21000,국내 메디컬 인접 계정,국내,2026-03-29,130,https://www.instagram.com/dr.hair_lee/reel/DWfGKskksK9/,DWfGKskksK9,릴스,37,,12769,603,,,,,,0.0472,0,광고아님,제품 판매·협찬 CTA 없이 음식·생활습관 설명과 공유 요청 중심.,피부·뷰티,탈모·음식 선택,음식 목록을 두피 고민과 연결해 순위형으로 설명,"탈모, 두피, 음식, DHT, 혈당, 생활습관",,TOP5 순위형,머리에 제일 안 좋은 음식 TOP5,5위부터 1위까지 음식 제시 → 두피·호르몬 관련 설명 → 공유 CTA,"순위 숫자 고정, 음식별 한 줄 근거, 짧은 자막 전환",,,,무주공산,0,,내용·형식,선영,판정불가(지표없음),,감자튀김·과일주스·치킨·가공육·탄산음료를 탈모 고민과 연결해 순위형으로 설명하는 두피 건강 릴스,익숙한 음식 목록을 순위와 짧은 이유로 쪼개 시청자가 끝까지 확인하게 만들고 공유 행동까지 연결한다.,"탈모·피부 고민자가 자주 묻는 음식이나 생활습관을 TOP5로 정리하되, 각 항목의 근거 수준을 분리해 표시",,,검토,"2026-08-06 재방문. 페이지 JSON에서 좋아요 12,769, 댓글 603, view_count=null 확인. 조회수·배수·좋아요율은 빈칸 유지. 음식과 탈모 연결 근거는 별도 사실검증 필요.; 카테고리 §5 정규화(2026-08-06): 피부·생활습관 → 피부·뷰티",2026-08-05T19:45:00.000Z,DWfGKskksK9.jpg,판정불가(지표없음),"게시물 view_count=null, 팔로워 2.1만·계정중앙조회수 2.3만. 공개 조회수 부재로 배수 산출 불가.",판정불가(지표없음): 조회수 없음,불명,참여율비 없음
KUMEDICINEOF-DaexmcFgIJ8,2026-08-05T16:33:52.881Z,E2-게이트후보,kumedicine_official,고려대학교병원,18000,국내 메디컬 인접 계정,국내,2026-07-06,31,https://www.instagram.com/kumedicine_official/reel/DaexmcFgIJ8/,DaexmcFgIJ8,릴스,44,,6924,734,,,,,,0.1060,0,광고아님,병원 공식 의학정보 설명 중심이며 특정 상품 판매·협찬 CTA 없음.,증상,치핵 수술과정·질환 설명,막연한 수술 불안을 단계별 시각 정보로 분해,"치핵, 치질, 수술과정, 혈관결찰, 질환정보",,의학백과·단계형,막연하게 두려운 치핵 수술은 어떻게 진행될까요,상태 확인 → 비정상 조직 절개 → 혈관 결찰·절제 → 조직 제거 → 마무리,"단계 숫자 고정, 수술 부위 도식·자막, 순서별 짧은 설명",,,,무주공산,0,,내용·형식,김주성·오약·선영,판정불가(지표없음),,치핵 수술 과정을 5단계로 나누어 각 단계의 목적을 설명하는 병원 공식 의학백과형 릴스,환자가 막연하게 두려워하는 수술을 순서와 목적 단위로 쪼개 불안을 낮추고 저장 가치를 만든다.,"약국에서 자주 묻는 증상·처치 과정을 단계별 카드와 짧은 설명으로 나누고, 진료가 필요한 기준을 마지막에 덧붙이는 구조",,,검토,"2026-08-06 재방문. 페이지 JSON에서 좋아요 6,924, 댓글 734, view_count=null 확인. 조회수·배수·좋아요율은 빈칸 유지.; 카테고리 §5 정규화(2026-08-06): 생활습관 → 증상",2026-08-05T19:45:00.000Z,DaexmcFgIJ8.jpg,판정불가(지표없음),"게시물 view_count=null, 팔로워 1.8만·계정중앙조회수 1.4만. 공개 조회수 부재로 배수 산출 불가.",판정불가(지표없음): 조회수 없음,불명,참여율비 없음
